id,name,name_nepali,alternate_names,description,food_category,food_type,cuisine,region,district_or_city,ethnic_association,meal_type,diet_type,main_ingredients,spice_level,serving_style,is_traditional,is_festival_food,is_street_food,is_restaurant_food,image_url,image_source,image_license,image_verified,source_url,research_confidence,notes
69,Yangben,याङ्बेन,Fermented Bamboo Shoot Soup,A traditional Limbu soup made from fermented bamboo shoots.,Soup,Fermented Vegetable Soup,Kirat,Koshi / Eastern Hills,,Limbu,Lunch/Dinner,Vegan,"Fermented bamboo shoot, spices",Medium,Bowl,TRUE,FALSE,FALSE,FALSE,,,,FALSE,,Medium,
70,Tongba,तोङ्बा,Millet Beer,"Fermented millet served hot in a wooden vessel, sipped through a bamboo straw; a signature Limbu beverage.",Beverage,Fermented Alcohol,Kirat,Koshi / Eastern Hills,Ilam,Limbu,Any,Vegan,"Fermented millet, hot water",N/A,Wooden vessel with bamboo straw,TRUE,TRUE,TRUE,TRUE,,,,FALSE,,High,
71,Sishnu Soup,सिस्नु स्याउ,Nettle Soup,"A soup made from stinging nettle leaves, common in hill and Kirat communities, valued for nutrition.",Soup,Vegetable Soup,Hill-region / Kirat,Hill Region,,Rai / Limbu / other hill communities,Lunch/Dinner,Vegan,"Nettle leaves, spices",Mild,Bowl,TRUE,FALSE,FALSE,TRUE,,,,FALSE,,High,
72,Faapar Roti,फापर रोटी,Buckwheat Flatbread,"Flatbread made from buckwheat flour, common in the eastern hills.",Bread,Flatbread,Kirat / Hill-region,Hill Region,,Rai / Limbu,Breakfast/Lunch,Vegan,"Buckwheat flour, water",None,Plate,TRUE,FALSE,FALSE,FALSE,,,,FALSE,,Medium,
73,Gurung Bhatti Set,गुरुङ भट्टी खाना,,"A rustic hill meal set (dhido, gundruk, local vegetables) traditionally served in Gurung teahouses (bhatti) along trekking routes.",Main Course,Meal Set,Gurung,Gandaki,Kaski / Lamjung,Gurung,Lunch/Dinner,Vegetarian/Non-Veg variants,"Dhido, gundruk, local vegetables, meat optional",Mild-Medium,Thali,TRUE,FALSE,FALSE,TRUE,,,,FALSE,,Medium,
74,Magar Roti Tarkari,मगर रोटी तरकारी,,"A simple hill meal of millet/wheat flatbread with vegetable curry, common among Magar households.",Main Course,Meal Set,Magar,Hill Region,,Magar,Lunch/Dinner,Vegetarian,"Roti, seasonal vegetable curry",Mild,Plate,TRUE,FALSE,FALSE,FALSE,,,,FALSE,,Low,
75,Ghonghi,घोंघी,Snail Curry,"A spicy curry made from freshwater snails, a Tharu community delicacy from the Terai.",Main Course,Curry,Tharu,Terai,Chitwan / Dang,Tharu,Lunch/Dinner,Non-Vegetarian (mollusk),"Freshwater snails, mustard oil, spices",Medium-Hot,Bowl,TRUE,FALSE,FALSE,TRUE,,,,FALSE,,High,
76,Dhikri,धिक्री,,"Steamed rice-flour dumplings, sometimes fried afterward, a traditional Tharu dish.",Snack,Steamed Dumpling,Tharu,Terai,Dang / Kailali,Tharu,Snack/Festival,Vegan,"Rice flour, water, spices",Mild,"Plate, steamed or fried",TRUE,TRUE,FALSE,TRUE,,,,FALSE,,High,
77,Bagiya,बगिया,,"Steamed rice-flour dumplings filled with lentil or sesame paste, a Tharu festival food.",Snack,Steamed Dumpling,Tharu,Terai,,Tharu,Snack/Festival,Vegetarian,"Rice flour, lentil/sesame filling",Mild,Plate,TRUE,TRUE,FALSE,FALSE,,File:Bagiya.jpg | Wikimedia Commons — Category:Cuisine of Nepal,CC BY-SA (see file page),FALSE,,Medium,Filename confirmed via Commons search; not live URL-verified (see resolver script).
78,Sidhra,सिधरा,Dried Fish,"Sun-dried fish, often used in curries, a Tharu preserved food staple.",Ingredient/Main Course,Dried/Preserved Food,Tharu,Terai,,Tharu,Lunch/Dinner,Non-Vegetarian,"Sun-dried fish, spices",Medium-Hot,"Bowl, curry form",TRUE,FALSE,FALSE,FALSE,,,,FALSE,,Medium,
79,Peenva,पीन्भा,,A Tharu dish of jute leaves or seasonal greens cooked with minimal spices.,Side Dish,Vegetable Dish,Tharu,Terai,,Tharu,Side,Vegan,"Jute/seasonal leaves, mustard oil",Mild,Small bowl,TRUE,FALSE,FALSE,FALSE,,,,FALSE,,Low,
80,Dhuska,धुस्का,,"Deep-fried rice and lentil flour fritters/pancakes, popular Tharu and Terai snack.",Snack,Fritter,Tharu,Terai,,Tharu,Snack/Breakfast,Vegan,"Rice flour, lentil flour, oil",Mild,"Plate, with chutney",TRUE,TRUE,TRUE,TRUE,,,,FALSE,,High,
81,Tharu Achar,थारु अचार,,"A tangy mustard-oil pickle characteristic of Tharu households, often made from local vegetables.",Pickle/Achar,Achar,Tharu,Terai,,Tharu,Side,Vegan,"Seasonal vegetable, mustard oil, spices",Medium-Hot,Small bowl,TRUE,FALSE,FALSE,FALSE,,,,FALSE,,Low,
82,Litti Chokha,लिट्टी चोखा,,"Roasted stuffed wheat balls filled with roasted gram flour, served with mashed spiced vegetables (chokha).",Main Course,Baked/Roasted Bread,Maithili / Bhojpuri,Terai / Madhesh,,Maithil / Bhojpuri,Lunch/Dinner,Vegetarian,"Wheat flour, roasted gram flour (sattu), potato, eggplant",Medium,Plate,TRUE,FALSE,TRUE,TRUE,,File:Litti Chokha.jpg | Wikimedia Commons — Category:Litti (cuisine),CC BY-SA (see file page),FALSE,,High,Filename confirmed via Commons search; not live URL-verified (see resolver script).
83,Chana Ghugni,चना घुघनी,Ghugni,"A spiced curry made from dried white peas or chickpeas, popular Terai street/snack food.",Snack,Legume Curry,Madhesi / Terai,Terai,,Unknown / Mixed,Snack,Vegan,"Dried peas/chickpeas, spices",Medium,Bowl,TRUE,FALSE,TRUE,TRUE,,File:Chana Fry.jpg | Wikimedia Commons — Category:Cuisine of Nepal,CC BY-SA (see file page),FALSE,,High,Filename confirmed via Commons search; not live URL-verified (see resolver script).
84,Thekuwa,ठेकुवा,,"A deep-fried, semi-sweet wheat flour cookie/snack, an essential Chhath festival food.",Dessert,Fried Sweet,Maithili / Bhojpuri,Terai / Madhesh,,Maithil / Bhojpuri,Festival,Vegan,"Wheat flour, jaggery, ghee",None,Plate,TRUE,TRUE,FALSE,TRUE,,,,FALSE,,High,Central to Chhath Puja
85,Anarsa,अनरसा,,"A sweet fried rice-flour cookie coated in sesame seeds, popular in the Terai.",Dessert,Fried Sweet,Madhesi / Terai,Terai,,Unknown / Mixed,Dessert/Festival,Vegetarian,"Rice flour, jaggery, sesame seeds",None,Plate,TRUE,TRUE,FALSE,TRUE,,File:Anarsha.jpg | Wikimedia Commons — Category:Cuisine of Nepal,CC BY-SA (see file page),FALSE,,Medium,Filename confirmed via Commons search; not live URL-verified (see resolver script).
86,Malpuwa,मालपुवा,,"Sweet fried pancakes soaked in sugar syrup, common Terai dessert during festivals.",Dessert,Fried Sweet,Madhesi / Terai,Terai,,Unknown / Mixed,Dessert/Festival,Vegetarian,"Flour, milk, sugar syrup",None,Plate,TRUE,TRUE,FALSE,TRUE,,,,FALSE,,High,
87,Puri Sabji,पुरी सब्जी,Puri Tarkari,"Deep-fried puffed bread served with a spiced potato curry, popular breakfast across the Terai and nationwide.",Breakfast,Bread + Curry,Madhesi / Pan-Nepali,Terai / National,,Unknown / Mixed,Breakfast,Vegetarian,"Wheat flour, potato, spices",Mild-Medium,Plate,TRUE,FALSE,TRUE,TRUE,,File:Puri Tarkari.jpg | Wikimedia Commons,CC BY-SA (see file page),FALSE,,High,Filename confirmed via Commons search; not live URL-verified.
88,Kachori,कचौरी,,"Deep-fried stuffed flour balls with a spiced lentil filling, a popular Terai snack.",Snack,Fried Snack,Madhesi / Terai,Terai,,Unknown / Mixed,Snack/Breakfast,Vegetarian,"Flour, spiced lentil filling",Medium,Plate,TRUE,FALSE,TRUE,TRUE,,,,FALSE,,High,
89,Aloo Puri,आलु पुरी,,"Puri served with a spiced potato curry, a common breakfast/street combo.",Breakfast,Bread + Curry,Pan-Nepali / Madhesi,National,,Unknown / Mixed,Breakfast,Vegetarian,"Wheat flour, potato, spices",Mild-Medium,Plate,TRUE,FALSE,TRUE,TRUE,,,,FALSE,,High,
90,Sattu Paratha,सत्तु पराठा,,"A pan-fried flatbread stuffed with roasted gram flour (sattu), popular in the Terai belt.",Breakfast,Stuffed Flatbread,Madhesi / Bhojpuri,Terai,,Bhojpuri,Breakfast,Vegan,"Wheat flour, sattu, spices",Medium,Plate,TRUE,FALSE,FALSE,TRUE,,,,FALSE,,Medium,
91,Pua,पुवा,,"A sweet fried rice/flour pancake, similar to malpuwa, made during Terai festivals.",Dessert,Fried Sweet,Maithili,Terai / Madhesh,,Maithil,Dessert/Festival,Vegetarian,"Rice/wheat flour, sugar, milk",None,Plate,TRUE,TRUE,FALSE,FALSE,,,,FALSE,,Low,
92,Dahi Bara,दही बरा,Dahi Vada,"Lentil dumplings soaked in seasoned yogurt, a popular Terai snack.",Snack,Lentil Dumpling,Madhesi / Terai,Terai,,Unknown / Mixed,Snack,Vegetarian,"Urad dal, yogurt, spices",Mild-Medium,Bowl,TRUE,FALSE,TRUE,TRUE,,,,FALSE,,High,
93,Chana Chatpat,चना चटपट,,"A tangy spiced chickpea street snack mixed with onions, tomato, and chutneys.",Snack,Chaat,Madhesi / Pan-Nepali,National,,Unknown / Mixed,Snack,Vegan,"Chickpeas, onion, tomato, spices, chutney",Medium-Hot,Bowl/plate,TRUE,FALSE,TRUE,TRUE,,,,FALSE,,High,
94,Khaja Set (Terai),खाजा सेट,Terai Khaja,"A savory snack platter common in the Terai, often including flattened rice, fried items, and vegetables.",Snack,Meal Set,Madhesi / Terai,Terai,,Unknown / Mixed,Snack,Vegetarian/Non-Veg variants,"Beaten rice, fried snacks, vegetables",Mild-Medium,Platter,TRUE,FALSE,TRUE,TRUE,,,,FALSE,,Low,
95,Panipuri,पानीपुरी,"Golgappa, Fuchka","Crisp hollow puris filled with spiced tamarind/mint water and potato-chickpea filling, ubiquitous street snack.",Snack,Chaat,"Pan-Nepali (Indian-origin, localized)",National,,Unknown / Mixed,Snack,Vegan,"Semolina puris, tamarind water, potato, chickpeas",Medium-Hot,"Plate, eaten immediately",FALSE,FALSE,TRUE,TRUE,,,,FALSE,,High,
96,Chatpate,चटपटे,,"A tangy-spicy puffed rice snack mixed with potato, chickpeas, onion, and tamarind sauce, extremely popular street food.",Snack,Chaat,Nepali street food,National,Kathmandu (popularized),Unknown / Mixed,Snack,Vegan,"Puffed rice, potato, chickpeas, spices, tamarind",Hot,Plate/cup,FALSE,FALSE,TRUE,TRUE,,File:Chatpate.jpg | Wikimedia Commons,CC BY-SA 4.0,FALSE,,High,Filename confirmed via Commons search; not live URL-verified (see resolver script).
97,Aloo Chop,आलु चप,Potato Chop,"Deep-fried mashed potato patty/fritter, a common street snack.",Snack,Fritter,Pan-Nepali,National,,Unknown / Mixed,Snack,Vegan,"Mashed potato, gram flour, spices",Mild-Medium,Plate,TRUE,FALSE,TRUE,TRUE,,,,FALSE,,High,
98,Samosa,समोसा,,"Deep-fried pastry triangles stuffed with spiced potatoes and peas, a popular snack across Nepal.",Snack,Fried Pastry,"Pan-Nepali (South Asian-origin, localized)",National,,Unknown / Mixed,Snack,Vegan,"Flour pastry, potato, peas, spices",Medium,"Plate, with chutney",TRUE,FALSE,TRUE,TRUE,,"File:2015-3 Budhanilkantha,Nepal-DSCF5263.JPG | Wikimedia Commons — Category:Samosas",CC BY-SA (see file page),FALSE,,High,Filename confirmed via Commons search; not live URL-verified (see resolver script).
99,Pakauda,पकौडा,"Pakoda, Fritters","Vegetable fritters dipped in gram-flour batter and deep-fried, common tea-time snack.",Snack,Fritter,Pan-Nepali,National,,Unknown / Mixed,Snack,Vegan,"Vegetables, gram flour, spices",Medium,Plate,TRUE,FALSE,TRUE,TRUE,,,,FALSE,,High,
100,Bhatmas Sadeko,भटमास सादेको,Soybean Salad,"A tangy, spicy salad of roasted soybeans mixed with onion, tomato, and mustard oil.",Snack,Salad,Pan-Nepali,National,,Unknown / Mixed,Snack/Appetizer,Vegan,"Roasted soybeans, onion, tomato, mustard oil, spices",Medium-Hot,Bowl,TRUE,FALSE,TRUE,TRUE,,File:Bhatmas Sadheko.jpg | Wikimedia Commons — Category:Food of Nepal,CC BY-SA (see file page),FALSE,,High,Filename confirmed via Commons search; not live URL-verified.
101,Buff Sekuwa,भ्यागुते सेकुवा,Buffalo Sekuwa,"Skewered, marinated, and grilled/smoked buffalo meat, a popular Nepali barbecue-style dish.",Main Course,Grilled Meat,Pan-Nepali,National,,Unknown / Mixed,Snack/Dinner,Non-Vegetarian,"Buffalo meat, mustard oil, spices",Medium-Hot,"Plate, skewered or chopped",TRUE,FALSE,TRUE,TRUE,,File:Buff Sekuwa with Puff Rice.jpg | Wikimedia Commons — Category:Cuisine of Nepal,CC BY-SA (see file page),FALSE,,High,Filename confirmed via Commons search; not live URL-verified (see resolver script).
102,Chicken Sekuwa,कुखुराको सेकुवा,,"Skewered, marinated, and grilled chicken.",Main Course,Grilled Meat,Pan-Nepali,National,,Unknown / Mixed,Snack/Dinner,Non-Vegetarian,"Chicken, mustard oil, spices",Medium-Hot,"Plate, skewered",TRUE,FALSE,TRUE,TRUE,,File:Sekuwa Set.jpg | Wikimedia Commons,CC BY-SA (see file page),FALSE,,High,Filename confirmed via Commons search; not live URL-verified (see resolver script).
103,Chowmein,चाउमिन,,"Stir-fried noodles with vegetables and/or meat, an Indo-Chinese dish extremely popular as Nepali street/restaurant food.",Main Course,Noodle Dish,"Modern Nepali (Chinese-origin, localized)",National,,Unknown / Mixed,Lunch/Dinner/Snack,Vegetarian/Non-Veg variants,"Noodles, vegetables, meat/egg, soy sauce",Mild-Medium,Plate,FALSE,FALSE,TRUE,TRUE,,File:Chow Mein.jpg | Wikimedia Commons — Category:Cuisine of Nepal,CC BY-SA (see file page),FALSE,,High,Filename confirmed via Commons search; not live URL-verified (see resolver script).
104,Egg Chop,अन्डा चप,,"A boiled egg coated in spiced mashed potato and deep-fried, a popular street snack.",Snack,Fritter,Nepali street food,National,,Unknown / Mixed,Snack,Vegetarian,"Boiled egg, mashed potato, gram flour",Medium,Plate,FALSE,FALSE,TRUE,TRUE,,,,FALSE,,Medium,
105,Veg Chop,भेज चप,Vegetable Chop,"A deep-fried mashed vegetable patty, common street snack.",Snack,Fritter,Nepali street food,National,,Unknown / Mixed,Snack,Vegan,"Mixed vegetables, gram flour, spices",Mild-Medium,Plate,FALSE,FALSE,TRUE,TRUE,,,,FALSE,,Medium,
106,Chukauni,चुकौनी,,"A tangy potato salad dressed with mustard oil, yogurt, and Timur (Sichuan pepper), a Karnali/hill specialty.",Side Dish,Salad,Karnali / Hill-region,Karnali,,Unknown / Mixed,Side/Snack,Vegetarian,"Potato, yogurt, mustard oil, timur",Medium,Bowl,TRUE,FALSE,FALSE,TRUE,,,,FALSE,,High,
107,Laphing,लाफिङ,,"Cold, spicy mung bean/wheat starch noodles of Tibetan origin, now a very popular Kathmandu street food, especially in summer.",Snack,Cold Noodle,Tibetan (adapted street food),National,Kathmandu (popularized),Unknown / Mixed,Snack,Vegetarian/Non-Veg variants,"Mung bean/wheat starch jelly, chilli oil, sauces",Hot,"Plate/box, cold",FALSE,FALSE,TRUE,TRUE,,,,FALSE,,High,
108,Wai Wai Sadeko,वाई वाई सादेको,,"Crushed instant noodles (dry, uncooked) tossed with onion, tomato, chilli, and lime; a popular quick snack.",Snack,Salad,Modern Nepali street food,National,,Unknown / Mixed,Snack,Vegan,"Instant noodles (dry), onion, tomato, spices, lime",Medium-Hot,Bowl,FALSE,FALSE,TRUE,TRUE,,,,FALSE,,High,
109,Fried Fish (Nepali Street Style),फ्राइड माछा,"Sukuti Fish, Fried Machha","Deep-fried spiced fish, popular around river towns and city street stalls.",Snack,Fried Fish,Pan-Nepali,National,,Unknown / Mixed,Snack/Dinner,Non-Vegetarian,"Fish, spices, oil",Medium-Hot,Plate,TRUE,FALSE,TRUE,TRUE,,,,FALSE,,Medium,
110,Khasi Ko Masu,खसीको मासु,Mutton Curry (Goat),"A rich spiced curry made from castrated male goat meat, a prized meat dish for special occasions.",Main Course,Meat Curry,Pan-Nepali,National,,Unknown / Mixed,Lunch/Dinner,Non-Vegetarian,"Goat meat, mustard oil, whole spices",Medium-Hot,Bowl,TRUE,TRUE,FALSE,TRUE,,,,FALSE,,High,Especially prepared for festivals and guests
111,Kukhura Ko Masu,कुखुराको मासु,Chicken Curry,"A home-style spiced chicken curry, one of the most common non-veg dishes in Nepal.",Main Course,Meat Curry,Pan-Nepali,National,,Unknown / Mixed,Lunch/Dinner,Non-Vegetarian,"Chicken, onion, tomato, spices",Medium,Bowl,TRUE,FALSE,FALSE,TRUE,,"File:Chicken curry.jpg | Wikimedia Commons (generic chicken curry, not Nepal-specific photo)",CC BY-SA 2.0,FALSE,,High,"Filename confirmed via Commons search; generic (non-Nepal-specific) photo, low visual specificity; not live URL-verified."
112,Buff Ko Masu,भ्यागुतेको मासु,Buffalo Meat Curry,"A spiced buffalo meat curry, one of the most commonly eaten meats in Nepal due to affordability.",Main Course,Meat Curry,Pan-Nepali,National,,Unknown / Mixed,Lunch/Dinner,Non-Vegetarian,"Buffalo meat, onion, tomato, spices",Medium,Bowl,TRUE,FALSE,FALSE,TRUE,,,,FALSE,,High,
113,Has Ko Masu,हाँसको मासु,Duck Curry,"A spiced curry made from duck meat, more common in Newari and Terai households.",Main Course,Meat Curry,Newari / Terai,National,,Newar (associated),Lunch/Dinner,Non-Vegetarian,"Duck meat, spices",Medium,Bowl,TRUE,FALSE,FALSE,FALSE,,,,FALSE,,Medium,
114,Bhutuwa,भुटुवा,,"Dry-fried, spiced meat (usually goat or buffalo), stir-fried rather than in gravy.",Main Course,Fried Meat,Pan-Nepali,National,,Unknown / Mixed,Lunch/Dinner,Non-Vegetarian,"Meat, onion, spices, oil",Medium-Hot,Plate,TRUE,FALSE,FALSE,TRUE,,,,FALSE,,High,
115,Sukuti,सुकुटी,Dried Meat Jerky,"Sun-dried, smoked strips of meat (usually buffalo), rehydrated and cooked into a spicy dish, or eaten as jerky.",Snack/Main Course,Dried/Preserved Meat,Pan-Nepali (hill origin),Hill Region,,Unknown / Mixed,Snack/Dinner,Non-Vegetarian,"Dried buffalo meat, mustard oil, spices",Hot,Plate,TRUE,FALSE,TRUE,TRUE,,,,FALSE,,High,
116,Kalezi,कलेजी,Liver Fry,"Spiced, fried goat or buffalo liver, a popular appetizer with alcohol.",Snack,Organ Meat,Pan-Nepali,National,,Unknown / Mixed,Snack/Appetizer,Non-Vegetarian,"Liver, spices, oil",Medium-Hot,Plate,TRUE,FALSE,FALSE,TRUE,,,,FALSE,,Medium,
117,Masu Ko Achar,मासुको अचार,Meat Pickle,"A spicy, tangy pickle-style preparation of cooked meat mixed with mustard oil and spices.",Pickle/Achar,Meat Achar,Pan-Nepali,National,,Unknown / Mixed,Side/Snack,Non-Vegetarian,"Cooked meat, mustard oil, spices",Hot,Small bowl,TRUE,FALSE,FALSE,TRUE,,,,FALSE,,Medium,
118,Khutta Ko Jhol,खुट्टाको झोल,Trotter Soup,"A slow-cooked soup made from goat or buffalo trotters, considered warming and nutritious.",Soup,Bone Soup,Pan-Nepali,National,,Unknown / Mixed,Dinner,Non-Vegetarian,"Trotters, spices, bones",Medium,Bowl,TRUE,FALSE,FALSE,TRUE,,,,FALSE,,Medium,
119,Bheda Ko Masu,भेडाको मासु,Sheep/Lamb Curry,"A spiced curry made from sheep meat, more common in Himalayan/high-hill regions.",Main Course,Meat Curry,Himalayan / Hill-region,Hill/Mountain Region,,Unknown / Mixed,Lunch/Dinner,Non-Vegetarian,"Sheep meat, spices",Medium,Bowl,TRUE,FALSE,FALSE,FALSE,,,,FALSE,,Medium,
120,Machha Ko Achar,माछाको अचार,Fish Pickle,Fried fish mixed with a tangy mustard-oil and spice marinade.,Pickle/Achar,Fish Achar,Pan-Nepali,National,,Unknown / Mixed,Side/Snack,Non-Vegetarian,"Fried fish, mustard oil, spices",Medium-Hot,Small bowl,TRUE,FALSE,FALSE,TRUE,,,,FALSE,,Medium,
121,Machha Ko Jhol,माछाको झोल,Fish Curry,"A light, spiced fish curry, common in Terai and riverside communities.",Main Course,Fish Curry,Madhesi / Terai / Pan-Nepali,Terai,,Unknown / Mixed,Lunch/Dinner,Non-Vegetarian,"Fish, tomato, spices",Medium,Bowl,TRUE,FALSE,FALSE,TRUE,,,,FALSE,,High,
122,Sidra Ko Achar,सिधराको अचार,Dried Fish Pickle,"A pungent pickle made from dried fish, mustard oil, and chilli, common Tharu/Terai preparation.",Pickle/Achar,Fish Achar,Tharu / Terai,Terai,,Tharu (associated),Side,Non-Vegetarian,"Dried fish, mustard oil, spices",Hot,Small bowl,TRUE,FALSE,FALSE,FALSE,,,,FALSE,,Medium,
123,Aloo Tama,आलु तामा,Potato Bamboo Shoot Curry,"A tangy curry combining fermented bamboo shoots, potatoes, and black-eyed peas, a Nepali household favorite.",Main Course,Vegetable Curry,Pan-Nepali,National,,Unknown / Mixed,Lunch/Dinner,Vegan,"Fermented bamboo shoot, potato, black-eyed peas",Medium,Bowl,TRUE,FALSE,FALSE,TRUE,,File:Aloo Bodi Tama.jpg | Wikimedia Commons — Category:Cuisine of Nepal,CC BY-SA (see file page),FALSE,,High,Filename confirmed via Commons search; not live URL-verified (see resolver script).
124,Karkalo Ko Tarkari,करकलोको तरकारी,Taro Leaf Curry,"A curry made from taro (colocasia) leaves, common in hill households.",Side Dish,Vegetable Curry,Hill-region,Hill Region,,Unknown / Mixed,Side/Lunch,Vegan,"Taro leaves, mustard oil, spices",Mild-Medium,Bowl,TRUE,FALSE,FALSE,TRUE,,,,FALSE,,Medium,
125,Rayo Ko Saag,रायोको साग,Mustard Greens,"Stir-fried or lightly cooked mustard greens, a common household vegetable dish.",Side Dish,Leafy Green,Pan-Nepali,National,,Unknown / Mixed,Side/Lunch,Vegan,"Mustard greens, garlic, oil",Mild,Bowl,TRUE,FALSE,FALSE,TRUE,,File:Rayo Saag.jpg | Wikimedia Commons — Category:Saag,CC BY-SA (see file page),FALSE,,High,Filename confirmed via Commons search; not live URL-verified (see resolver script).
126,Palungo Saag,पालुङ्गो साग,Spinach,"Stir-fried spinach, a common household vegetable side.",Side Dish,Leafy Green,Pan-Nepali,National,,Unknown / Mixed,Side/Lunch,Vegan,"Spinach, garlic, oil",Mild,Bowl,TRUE,FALSE,FALSE,TRUE,,,,FALSE,,High,
127,Bhindi Ko Tarkari,भिन्डीको तरकारी,Okra Curry,A simple stir-fried or lightly spiced okra dish.,Side Dish,Vegetable Curry,Pan-Nepali,National,,Unknown / Mixed,Side/Lunch,Vegan,"Okra, onion, spices",Mild-Medium,Bowl,TRUE,FALSE,FALSE,TRUE,,,,FALSE,,High,
128,Ghiraula Ko Tarkari,घिरौलाको तरकारी,Ridge Gourd Curry,"A light curry made from ridge gourd, common summer household dish.",Side Dish,Vegetable Curry,Pan-Nepali,National,,Unknown / Mixed,Side/Lunch,Vegan,"Ridge gourd, spices",Mild,Bowl,TRUE,FALSE,FALSE,FALSE,,,,FALSE,,Medium,
129,Cauli Aloo Ko Tarkari,काउली आलुको तरकारी,Cauliflower Potato Curry,A common household curry combining cauliflower and potatoes.,Main Course,Vegetable Curry,Pan-Nepali,National,,Unknown / Mixed,Lunch/Dinner,Vegan,"Cauliflower, potato, spices",Mild-Medium,Bowl,TRUE,FALSE,FALSE,TRUE,,,,FALSE,,High,
130,Gundruk Ko Jhol,गुन्द्रुकको झोल,Fermented Leafy Green Soup,"A tangy soup made from dried fermented leafy greens (gundruk), a signature hill dish.",Soup,Fermented Vegetable Soup,Hill-region,Hill Region,,Unknown / Mixed,Lunch/Dinner,Vegan,"Gundruk, potato, tomato, spices",Medium,Bowl,TRUE,FALSE,FALSE,TRUE,,,,FALSE,,High,
131,Gundruk,गुन्द्रुक,,"Fermented and sun-dried leafy greens (mustard/radish/cauliflower leaves), a signature Nepali preserved food, eaten as side, soup, or pickle.",Ingredient/Side Dish,Fermented Food,Hill-region / Pan-Nepali,Hill Region,,Unknown / Mixed,Side/Lunch,Vegan,"Fermented, dried leafy greens",Mild-Medium,Bowl,TRUE,FALSE,FALSE,TRUE,,File:Gundruk NP.jpg | Wikimedia Commons — Category:Gundruk,CC BY-SA (see file page),FALSE,,High,Considered a national dish/symbol Filename confirmed via Commons search; not live URL-verified (see resolver script).
132,Kalo Dal,कालो दाल,Black Lentil Soup,"A soup made from whole black lentils (maas dal), rich and hearty.",Soup,Lentil Soup,Pan-Nepali,National,,Unknown / Mixed,Lunch/Dinner,Vegan,"Black lentils, garlic, spices",Mild-Medium,Bowl,TRUE,FALSE,FALSE,TRUE,,,,FALSE,,High,
133,Rahar Dal,रहर दाल,"Pigeon Pea Soup, Toor Dal","The most common everyday dal, made from split pigeon peas.",Soup,Lentil Soup,Pan-Nepali,National,,Unknown / Mixed,Lunch/Dinner,Vegan,"Pigeon peas, turmeric, garlic",Mild,Bowl,TRUE,FALSE,FALSE,TRUE,,,,FALSE,,High,
134,Masyaura Dal,मस्यौरा दाल,,A dal soup with sun-dried lentil-vegetable dumplings (masyaura) added for texture and flavor.,Soup,Lentil Soup,Hill-region,Hill Region,,Unknown / Mixed,Lunch/Dinner,Vegan,"Lentils, masyaura (dried lentil dumplings), spices",Mild-Medium,Bowl,TRUE,FALSE,FALSE,TRUE,,,,FALSE,,High,
135,Masyaura,मस्यौरा,,"Sun-dried dumplings made from ground black gram paste mixed with vegetables, used to flavor dal and curries.",Ingredient,Dried/Preserved Food,Pan-Nepali (hill origin),Hill Region,,Unknown / Mixed,Ingredient,Vegan,"Black gram paste, vegetables, sun-dried",Mild,Used in dishes,TRUE,FALSE,FALSE,FALSE,,,,FALSE,,Medium,
136,Aloo Achar,आलु अचार,Potato Salad/Pickle,"A tangy, spiced boiled potato salad dressed with mustard oil, sesame, and timur, a very common Nepali side.",Side Dish,Achar,Pan-Nepali,National,,Unknown / Mixed,Side/Snack,Vegan,"Potato, mustard oil, sesame, timur, spices",Medium,Bowl,TRUE,FALSE,TRUE,TRUE,,,,FALSE,,High,
137,Mula Ko Achar,मुलाको अचार,Radish Pickle,"A crunchy, tangy pickle made from grated radish.",Pickle/Achar,Achar,Pan-Nepali,National,,Unknown / Mixed,Side,Vegan,"Radish, mustard oil, spices",Medium,Small bowl,TRUE,FALSE,FALSE,TRUE,,,,FALSE,,High,
138,Tomato Achar,गोलभेंडाको अचार,Golbheda Ko Achar,A tangy pickle/chutney made from roasted or boiled tomatoes ground with spices and often timur or sesame.,Pickle/Achar,Achar,Pan-Nepali,National,,Unknown / Mixed,Side,Vegan,"Tomato, chilli, garlic, timur/sesame",Medium-Hot,Small bowl,TRUE,FALSE,FALSE,TRUE,,,,FALSE,,High,
139,Timur Achar,टिमुर अचार,Sichuan Pepper Pickle,"A pungent, numbing pickle made using Timur (Nepali Sichuan pepper).",Pickle/Achar,Achar,Hill-region,Hill Region,,Unknown / Mixed,Side,Vegan,"Timur, chilli, mustard oil",Hot,Small bowl,TRUE,FALSE,FALSE,FALSE,,,,FALSE,,Medium,
140,Bhatmas Ko Achar,भटमासको अचार,Soybean Pickle,A pickle made from roasted soybeans mixed with mustard oil and spices (distinct from the fresh sadeko salad).,Pickle/Achar,Achar,Pan-Nepali,National,,Unknown / Mixed,Side,Vegan,"Roasted soybean, mustard oil, spices",Medium-Hot,Small bowl,TRUE,FALSE,FALSE,TRUE,,,,FALSE,,Medium,
141,Til Ko Achar,तिलको अचार,Sesame Pickle,A pickle/chutney made from roasted and ground sesame seeds with chilli.,Pickle/Achar,Achar,Pan-Nepali,National,,Unknown / Mixed,Side,Vegan,"Sesame seeds, chilli, spices",Medium-Hot,Small bowl,TRUE,FALSE,FALSE,FALSE,,,,FALSE,,Medium,
